sitenumber,stockwater,irrigation not subject to min flow,trib min flow,SH1 min flow,SH1 min flow and 50%,trib min flow and main stem min flow ,trib min flow and main stem min flow and 50%,RDR,consentnumber,A or B
1688218,K37/2786,,,,,,K37/2633,,,
1688218,K37/0067,,,,,,,,,
1688218,K37/0487,,,,,,,,,
1688218,K37/0158,,,,,,,,,
168837,K36/0152,K36/0874,,,K36/0921,,,,,
168837,BY20/0089,K36/0875,,,K36/0895,,,,,
168837,K36/0914,K36/0876,,,K36/0921,,,,,
168837,K36/0184,K36/0179,,,,,,,,
168837,,K36/0134,,,,,,,,
168837,,K36/0915,,,,,,,,
168837,,K36/0200,,,,,,,,
168837,,BY20/0103,,,,,,,,
168837,,K36/0974,,,,,,,,
168837,,K36/0103,,,,,,,,
168837,,K36/0102,,,,,,,,
168837,,BX20/0102,,,,,,,,
168837,,K36/0210,,,,,,,,
168837,,K36/0239,,,,,,,,
168837,,K36/0600,,,,,,,,
168837,,K36/0840,,,,,,,,
168837,,K36/0839,,,,,,,,
168837,,K36/1077,,,,,,,,
168837,,K36/0808,,,,,,,,
168837,,K36/0836,,,,,,,,
168846,,K36/0677,K36/0110,K36/0136,K36/0085,,,,,
168846,,K36/0678,K36/0111,,,,,,,
168846,,K36/0628,K36/1008,,,,,,,
168846,,K36/0681,,,,,,,,
168846,,K36/1040,,,,,,,,
168846,,K36/0087,,,,,,,,
168846,,K36/0086,,,,,,,,
168846,,K36/0116,,,,,,,,
168846,,K36/0893,,,,,,,,
168846,,K36/0043,,,,,,,,
168846,,BY20/0125,,,,,,,,
168841,,,,,,,K36/0873,,,
68813,k36/0890,K36/0208,,,,,,,,
68813,BX20/0027,K36/0922,,,,,,,,
68813,K36/0908,,,,,,,,,
68813,K36/0909,,,,,,,,,
68813,K36/0832,,,,,,,,,
68813,K36/0966,,,,,,,,,
68813,K36/0906,,,,,,,,,
69,,,K36/0857,,,,,,CRC950885,
69,,,K36/0859,,,,,,CRC950885,
69,,,K36/0856,,,,,,CRC950885,
69,,,,,,,K36/0857,,CRC950930.2,
69,,,,,,,K36/0859,,CRC950930.2,
69,,,,,,,K36/0857,,CRC950931.1,
69,,,,,,,K36/0859,,CRC950931.1,
69,,,,,,,K36/0856,,CRC950931.1,
69,,,,,,,K36/0857,,CRC972504.1,
69,,,,,,,K36/0859,,CRC972504.1,
168821,,K36/0101,,,K36/0883,K36/0970,,,,
168821,,K36/0203,,,,,,,,
168849,K35/0048,,,,,,,,,
168849,K35/0049,,,,,,,,,
168849,K35/0050,,,,,,,,,
168849,BX20/0009,,,,,,,,,
168849,K36/0911,,,,,,,,CRC169467,B
168845,K36/0129,K36/1025,K36/0955,,K36/0891,,,,,
168845,K37/1604,BX20/0038,,,K36/0864,,,,,
168845,K37/1605,K36/0549,,,K36/0867,,,,,
168845,K36/0130,K36/0550,,,,,,,,
168845,K36/0910,K36/0819,,,,,,,,
168845,K36/0912,K36/0818,,,,,,,,
168845,,,,,,K36/1036,K36/1006,,,B
168845,,,,,,K36/1090,,,,B
168845,,,,,,k36/0963,,,,B
168834,L36/0919,K37/2874,,,,,,,,
168834,K36/0435,K37/2708,,,,,,,,
168834,,L37/1444,,,,,,,,
168834,,K37/1333,,,,,,,,
168834,,K37/1430,,,,,,,,
168834,,L37/1038,,,,,,,,
168834,,K37/1533,,,,,,,,
168834,,K37/0836,,,,,,,,
168834,,K36/0601,,,,,,,,
168834,,L37/1048,,,,,,,,
168834,,L37/1155,,,,,,,,
168834,,K37/1430,,,,,,,,
168834,,K37/2358,,,,,,,,
168834,,K37/0354,,,,,,,,
168834,,K37/0385,,,,,,,,
168834,,K37/0386,,,,,,,,
168834,,K37/0390,,,,,,,,
168834,,K37/0463,,,,,,,,
168834,,K37/0342,,,,,,,,
168834,,K37/0388,,,,,,,,
168834,,K37/0829,,,,,,,,
168834,,K37/0905,,,,,,,,
48,J36/0017,,,,K36/0927,,,,,
48,K36/0905,,,,K36/0871,,,,,
48,K36/1031,,,,,,,,,
48,K36/0128,,,,,,,,,
168833,BY20/0088,K36/0631,,,K36/0201,,,,,
168833,K36/0904,K36/0704,,,K36/0574,,,,,
168833,,BY20/0043,,,K36/0861,,,,,
168833,,K36/0225,,,K36/0862,,,,,
168833,,K36/0387,,,K36/0893,,,,,
168833,,K36/0322,,,K36/0894,,,,,
168833,,K37/2636,,,K36/0863,,,,,
168833,,K36/0109,,,K37/2632,,,,,
168833,,K36/0150,,,K37/2635,,,,,
168833,,K36/0213,,,,,,,,
48,,,,,,K36/0920,,K36/0920,,
68801,,K37/0341,,K37/0348,K37/2080,,,,,
